curso,ano,prova,tipoquestao,idquestao,objeto,objetodetalhado,gabarito,acertoscurso,acertosregiao,acertosbrasil,acertosdif,texto,imagem,urlprova,urlsintese,urlcurso,urlcrop
SI,2017,Geral,Discursiva,D1,"Ética, democracia e cidadania; responsabilidade social; sociodiversidade e multiculturalismo.","P 01: ético e comprometido com as questões sociais, culturais e ambientais;
R 02: ler, interpretar e produzir textos com clareza e coerência;
OC 01: ética, democracia e cidadania;
OC 08: responsabilidade social;
OC 09: sociodiversidade e multiculturalismo.",-,"52,9","50,7","52,6","0,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Discursiva,D2,Ética democracia cidadania; sociodiversidade e multiculturalismo.,"P 02: humanista e crítico, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam o ambiente próprio de sua formação.
R 10: promover, em situações de conflito, diálogo e regras coletivas de convivência, integrando saberes e conhecimentos, compartilhando metas e objetivos coletivos.
OC 01: ética democracia cidadania;
OC 09: sociodiversidade e multiculturalismo.",-,"55,4","47,6",49,"6,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,1,Globalização e política internacional.,"P 03: protagonista do saber, com visão do mundo em sua diversidade para práticas de letramento, voltadas para o exercício pleno de cidadania.
R 04: interpretar diferentes representações simbólicas, gráficas e numéricas de um mesmo conceito.
OC 03: Globalização e política internacional.",C,56,"26,6","23,6","32,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,2,"Vida urbana e vida rural; Relações de trabalho; Ciência, tecnologia e sociedade.","P 02: humanista e crítico, apoiado em conhecimentos científico, social e cultural, historicamente construídos, que transcendam o ambiente próprio de sua formação.
R 06: organizar, interpretar e sintetizar informações para tomada de decisões.
OC 05: Vida urbana e vida rural;
OC 10: Relações de trabalho;
OC 11: Ciência, tecnologia e sociedade.",C,56,"54,8","50,3","5,7",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,3,Meio ambiente; Responsabilidade social.,"P 01: ético e comprometido com as questões sociais, culturais e ambientais;
R 04: interpretar diferentes representações simbólicas, gráficas e numéricas de um mesmo conceito.
OC 06: Meio ambiente;
OC 08: Responsabilidade social.",B,48,"36,8","35,6","12,4",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,4,"Tecnologias de Informação e Comunicação; Ciência, tecnologia e sociedade.","P 03: protagonista do saber, com visão do mundo em sua diversidade para práticas de letramento, voltadas para o exercício pleno de cidadania.
R 05: formular e articular argumentos consistentes em situações sociocomunicativas, expressando-se com clareza, coerência e precisão;
OC 13: Tecnologias de Informação e Comunicação;
OC 11: Ciência, tecnologia e sociedade.",B,92,"66,2","63,4","28,6",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,5,Inovação tecnológica; meio ambiente.,"P 04: proativo, solidário, autônomo e consciente na tomada de decisões pautadas pela análise contextualizada das evidências disponíveis;
R 07: planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades, de forma coerente, em diferentes contextos;
OC 12: Inovação tecnológica;
OC 06: meio ambiente.",C,88,"65,4","61,8","26,2",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,6,Processos migratórios; Relações de trabalho.,"P 04: proativo, solidário, autônomo e consciente na tomada de decisões pautadas pela análise contextualizada das evidências disponíveis;
R 08: buscar soluções viáveis e inovadoras na resolução de situações-problema;
OC 04: Processos migratórios;
OC 10: Relações de trabalho.",E,100,"85,2","84,7","15,3",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,7,Cultura e arte.,"P 05: colaborativo e propositivo no trabalho em equipes, grupos e redes, atuando com respeito, cooperação, iniciativa e responsabilidade social.
R 09: trabalhar em equipe, promovendo a troca de informações e a participação coletiva, com autocontrole e flexibilidade;
OC 02: Cultura e arte.",A,44,"39,7","34,9","9,1",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
SI,2017,Geral,Objetiva,8,"Responsabilidade social; Ética, democracia e cidadania; sociodiversidade e multiculturalismo.","P 05: colaborativo e propositivo no trabalho em equipes, grupos e redes, atuando com respeito, cooperação, iniciativa e responsabilidade social.
R 07: planejar e elaborar projetos de ação e intervenção a partir da análise de necessidades, de forma coerente, em diferentes contextos;
OC 08: Responsabilidade social;
OC 01: Ética, democracia e cidadania;
OC 09: sociodiversidade e multiculturalismo.",D,60,"46,7","46,5","13,5",,,http://download.inep.gov.br/educacao_superior/enade/provas/2017/40_SIS_INFORMACAO_BAIXA.pdf,http://download.inep.gov.br/educacao_superior/enade/relatorio_sintese/2017/Sistema_de_Informacao.pdf,http://enadeies.inep.gov.br/enadeResultadoPDF/2017/relatorio/cursos/40060058243169070000121636.pdf,
